item_id,metal,item_category,item_name,current_stock_pcs,avg_weight_per_pc,total_stock_weight,current_rate,stock_value,stock_status,last_purchase_date,last_sale_date,avg_monthly_sales,months_of_stock,reorder_level,reorder_quantity,supplier_lead_days,total_sold_3yr,revenue_3yr,revenue_contribution,cumulative_revenue,cumulative_pct,abc_category
INV0063,Gold,Necklaces,GANTHAN LONG,93,4.13,384.3,7220,2774646.0,Normal,2024-11-26,2024-12-29,43.97,2.11,44,110,8,1583,41673454.27,41673454.27,41673454.27,32.82685192010024,A
INV0074,Gold,Chains,CHAIN LONG,37,1.85,68.51,7220,494642.2,Normal,2024-10-21,2024-12-30,15.42,2.4,16,39,9,555,6254458.75,6254458.75,47927913.02,37.75358993169884,A
INV0064,Gold,Bangles,FANCY KANGAN,32,2.07,66.22,7220,478108.4,Normal,2024-12-01,2024-12-31,11.39,2.81,12,29,9,410,5360407.49,5360407.49,53288320.510000005,41.97606934906503,A
INV0057,Gold,Necklaces,HAAR SHRIMANT,17,3.6,61.21,7220,441936.2,Excess,2024-11-06,2024-12-20,5.61,3.03,6,15,4,202,4661006.54,4661006.54,57949327.050000004,45.64761936015555,A
INV0048,Gold,Mangalsutra,MANGALSUTRA SET RAJKOT,18,4.81,86.56,7220,624963.2,Excess,2024-09-02,2024-12-21,4.14,4.35,5,11,8,149,4608418.89,4608418.89,62557745.940000005,49.277745231356164,A
INV0062,Gold,Necklaces,GANTHAN SHORT,72,1.51,108.94,7220,786546.8,Excess,2024-08-19,2024-12-30,12.86,5.6,13,33,4,463,4455869.74,4455869.74,67013615.68000001,52.78770567722049,A
INV0014,Gold,Bangles,PATLI,51,2.86,145.99,7220,1054047.8,Dead Stock,2024-04-26,2024-12-30,5.83,8.74,6,15,3,210,3790553.07,3790553.07,70804168.75,55.77358545378001,A
INV0055,Gold,Other,KADA GL,9,3.94,35.46,7220,256021.2,Normal,2024-10-11,2024-12-31,4.06,2.22,5,11,9,146,3639350.58,3639350.58,74443519.33,58.64036059080037,A
INV0058,Gold,Necklaces,HAAR RANI,8,2.88,23.06,7220,166493.2,Normal,2024-11-08,2024-12-23,5.39,1.48,6,14,4,194,3635375.14,3635375.14,78078894.47,61.50400420962807,A
INV0059,Gold,Necklaces,HAAR LONG,21,3.2,67.19,7220,485111.8,Excess,2024-10-26,2024-12-24,4.58,4.58,5,12,7,165,3343423.64,3343423.64,81422318.11,64.1376729241376,A
INV0016,Gold,Necklaces,NECKLACE,33,1.79,59.03,7220,426196.6,Excess,2024-11-19,2024-12-21,7.36,4.48,8,19,4,265,2999131.06,2999131.06,84421449.17,66.50013682160403,A
INV0060,Gold,Necklaces,HAAR LAXMI,0,2.27,0.0,7220,0.0,Critical,2024-11-25,2024-12-30,5.11,0.0,6,13,8,184,2665927.52,2665927.52,87087376.69,68.60013091764804,A
INV0049,Gold,Mangalsutra,MANGALSUTRA LOOSE,0,1.77,0.0,7220,0.0,Critical,2024-12-19,2024-12-29,6.25,0.0,7,16,6,225,2598845.92,2598845.92,89686222.61,70.6472837556697,A
INV0143,Silver,Other,CHOURAS,44,87.03,3829.54,93,356147.22,Excess,2024-08-21,2024-12-28,9.64,4.56,10,25,13,347,2458617.79,2458617.79,92144840.4,72.58397663448764,A
INV0080,Gold,Other,BILVER,29,1.95,56.66,7220,409085.2,Dead Stock,2024-07-16,2024-12-22,4.72,6.14,5,12,6,170,2042088.11,2042088.11,94186928.51,74.19256236775682,A
INV0079,Gold,Bracelets,BRACELET J,56,1.69,94.69,7220,683661.8,Dead Stock,2024-06-12,2024-12-29,4.78,11.72,5,12,4,172,1836012.95,1836012.95,96022941.46000001,75.63881937449658,A
INV0050,Gold,Mangalsutra,MANGALSUTRA +MANI SET,10,1.06,10.63,7220,76748.6,Normal,2024-12-13,2024-12-22,5.81,1.72,6,15,5,209,1433855.39,1433855.39,97456796.85000001,76.76829038636448,A
INV0073,Gold,Chains,CHAIN SHORT,43,0.63,27.22,7220,196528.4,Excess,2024-07-22,2024-12-29,9.03,4.76,10,23,8,325,1241641.14,1241641.14,98698437.99000001,77.74635113401953,A
INV0068,Gold,Rings,F RING J,14,0.45,6.35,7220,45847.0,Normal,2024-12-12,2024-12-31,8.94,1.57,9,23,5,322,929391.92,929391.92,99627829.91000001,78.47844813600817,A
INV0162,Silver,Anklets,CHAL 10,97,5.94,576.12,93,53579.16,Normal,2024-10-09,2024-12-31,50.06,1.94,51,126,10,1802,879907.51,879907.51,100507737.42000002,79.17156547029518,A
INV0067,Gold,Rings,F RING J-AD,6,0.74,4.44,7220,32056.8,Normal,2024-12-21,2024-12-29,5.06,1.19,6,13,6,182,877973.19,877973.19,101385710.61000001,79.86315910952695,A
INV0030,Gold,Other,MANI NAKSHI 130MG,2,1.0,2.0,7220,14440.0,Low,2024-10-14,2024-12-31,3.72,0.54,4,10,8,134,826274.72,826274.72,102211985.33000001,80.514029030293,B
INV0011,Gold,Other,THUSHI K,5,0.98,4.88,7220,35233.6,Normal,2024-10-09,2024-12-31,3.61,1.38,4,10,8,130,819867.58,819867.58,103031852.91000001,81.1598519435648,B
INV0039,Gold,Other,MANI K 150MG,18,1.35,24.27,7220,175229.4,Dead Stock,2024-06-16,2024-12-24,2.44,7.36,3,7,6,88,755880.61,755880.61,103787733.52000001,81.7552712887667,B
INV0056,Gold,Other,KADA BARSE,0,0.98,0.0,7220,0.0,Critical,2024-11-07,2024-12-31,3.03,0.0,4,8,5,109,701562.03,701562.03,104489295.55000001,82.30790301260616,B
INV0002,Gold,Coins,ZUBE COIM SET,16,0.56,9.0,7220,64980.0,Normal,2024-10-13,2024-12-19,5.92,2.7,6,15,8,213,676541.9,676541.9,105165837.45000002,82.84082597659072,B
INV0006,Gold,Earrings,TOPS VARING,5,0.45,2.25,7220,16245.0,Low,2024-11-15,2024-12-28,5.92,0.85,6,15,9,213,620047.76,620047.76,105785885.21000002,83.32924759551956,B
INV0025,Gold,Other,MANI V 50MG,8,0.77,6.13,7220,44258.6,Normal,2024-12-10,2024-12-27,3.31,2.42,4,9,3,119,559205.39,559205.39,106345090.60000002,83.7697426985057,B
INV0097,Silver,Pooja Items,SAMAI 3-6,26,17.11,444.81,93,41367.33,Normal,2024-11-16,2024-12-26,11.06,2.35,12,28,6,398,542202.71,542202.71,106887293.31000002,84.1968445162847,B
INV0161,Silver,Anklets,"CHAL 10.5""",64,6.69,428.18,93,39820.74,Normal,2024-11-15,2024-12-29,27.61,2.32,28,70,10,994,540819.65,540819.65,107428112.96000002,84.62285687539962,B
INV0070,Gold,Rings,E RING U&V RAJKOT,37,0.38,14.08,7220,101657.6,Excess,2024-08-09,2024-12-19,6.22,5.95,7,16,6,224,531259.34,531259.34,107959372.30000003,85.0413384241659,B
INV0061,Gold,Other,GL MIX ITEM,8,0.65,5.2,7220,37544.0,Normal,2024-12-01,2024-11-30,3.58,2.23,4,9,7,129,526089.54,526089.54,108485461.84000003,85.45574763810826,B
INV0066,Gold,Rings,F RING L,40,0.31,12.25,7220,88445.0,Excess,2024-10-21,2024-12-31,7.28,5.5,8,19,4,262,509897.21,509897.21,108995359.05000003,85.85740189260552,B
INV0008,Gold,Earrings,TOPS FANCY,89,0.28,25.31,7220,182738.2,Dead Stock,2024-04-01,2024-12-30,7.44,11.96,8,19,3,268,500245.8,500245.8,109495604.85000002,86.25145357581512,B
INV0092,Silver,Pooja Items,TAMHAN,25,14.26,356.42,93,33147.06,Normal,2024-10-24,2024-12-29,11.61,2.15,12,30,9,418,478896.99,478896.99,109974501.84000002,86.6286884571345,B
INV0003,Gold,Coins,ZUBE ANTIQUE,1,0.77,0.77,7220,5559.4,Critical,2024-11-29,2024-12-02,2.97,0.34,3,8,8,107,472801.1,472801.1,110447302.94000001,87.00112150760359,B
INV0065,Gold,Rings,F RING L-AD,12,0.38,4.61,7220,33284.2,Normal,2024-11-21,2024-12-30,5.39,2.23,6,14,9,194,470303.79,470303.79,110917606.73000002,87.37158738671613,B
INV0047,Gold,Mangalsutra,MANGALSUTRA TAR,14,0.67,9.45,7220,68229.0,Excess,2024-09-10,2024-12-22,2.92,4.8,3,8,5,105,467796.21,467796.21,111385402.94000001,87.7400780046275,B
INV0043,Gold,Other,MANI BOARMAL SET,19,0.65,12.35,7220,89167.0,Dead Stock,2024-07-05,2024-12-23,3.08,6.16,4,8,9,111,445798.4,445798.4,111831201.34000002,88.09124059288342,B
INV0013,Gold,Pendants,PENDANT,14,0.39,5.46,7220,39421.2,Normal,2024-10-17,2024-12-22,5.06,2.77,6,13,9,182,441039.26,441039.26,112272240.60000002,88.43865432981939,B
INV0171,Silver,Pooja Items,AARTI SET,50,22.49,1124.5,93,104578.5,Dead Stock,2024-06-17,2024-12-31,6.81,7.35,7,18,9,245,436483.8,436483.8,112708724.40000002,88.78247965745577,B
INV0054,Gold,Other,KANVEL,22,0.37,8.17,7220,58987.4,Excess,2024-07-05,2024-12-28,5.25,4.19,6,14,5,189,433519.66,433519.66,113142244.06000002,89.1239700842169,B
INV0078,Gold,Bracelets,BRACELET L,11,0.62,6.77,7220,48879.4,Excess,2024-11-16,2024-12-30,3.0,3.67,3,8,5,108,410321.34,410321.34,113552565.40000002,89.4471868202371,B
INV0038,Gold,Other,MANI K 200MG,4,0.47,1.89,7220,13645.8,Normal,2024-10-03,2024-12-25,3.78,1.06,4,10,7,136,390875.55,390875.55,113943440.95000002,89.75508579390761,B
INV0093,Silver,Other,TAMBYA NAKSHI,71,19.89,1412.19,93,131333.67,Dead Stock,2024-06-30,2024-12-28,6.06,11.72,7,16,6,218,350661.85,350661.85,114294102.80000001,90.03130778763527,B
INV0036,Gold,Other,MANI K 300MG,16,0.44,7.09,7220,51189.8,Excess,2024-08-29,2024-11-29,3.53,4.54,4,9,4,127,349048.95,349048.95,114643151.75000001,90.30625927402465,B
INV0024,Gold,Other,MANI V 80MG,3,0.54,1.61,7220,11624.2,Normal,2024-11-13,2024-12-26,2.75,1.09,3,7,3,99,330162.05,330162.05,114973313.80000001,90.56633324472953,B
INV0072,Gold,Rings,E RING PIPE,0,0.28,0.0,7220,0.0,Critical,2024-10-21,2024-12-14,5.11,0.0,6,13,4,184,329405.09,329405.09,115302718.89000002,90.8258109458363,B
INV0091,Silver,Other,TATH PLANE,27,16.51,445.77,93,41456.61,Excess,2024-08-10,2024-12-30,6.86,3.94,7,18,10,247,328163.18,328163.18,115630882.07000002,91.08431037441005,B
INV0046,Gold,Other,MANI 100MG,0,0.36,0.0,7220,0.0,Critical,2024-12-09,2024-12-18,3.75,0.0,4,10,6,135,309533.26,309533.26,115940415.33000003,91.32813471458914,B
INV0107,Silver,Other,MUKHOTA,11,11.48,126.3,93,11745.9,Normal,2024-12-17,2024-12-31,8.81,1.25,9,23,8,317,294692.86,294692.86,116235108.19000003,91.56026903238421,B
INV0001,Gold,Coins,ZUBE SINGLE COIM,37,0.4,14.81,7220,106928.2,Dead Stock,2024-04-14,2024-12-30,3.44,10.74,4,9,7,124,287171.79,287171.79,116522279.98000003,91.78647888206174,B
INV0069,Gold,Rings,E RING ZALI,6,0.38,2.3,7220,16606.0,Normal,2024-11-07,2024-12-29,3.19,1.88,4,8,4,115,286937.37,286937.37,116809217.35000004,92.01250407532523,B
INV0131,Silver,Utensils,GLASS,15,8.2,122.93,93,11432.49,Normal,2024-11-28,2024-12-30,12.53,1.2,13,32,11,451,284960.88,284960.88,117094178.23000003,92.23697235554444,B
INV0071,Gold,Rings,E RING RAJKOT TAR BALI,54,0.16,8.89,7220,64185.8,Dead Stock,2024-05-06,2024-12-23,7.53,7.17,8,19,5,271,282171.64,282171.64,117376349.87000003,92.4592435064387,B
INV0010,Gold,Earrings,TOPS AD,14,0.23,3.22,7220,23248.4,Normal,2024-11-07,2024-12-23,5.06,2.77,6,13,6,182,276377.77,276377.77,117652727.64000003,92.6769507325068,B
INV0017,Gold,Nose Items,NATHANI AD,5,0.32,1.61,7220,11624.2,Normal,2024-10-31,2024-12-30,3.31,1.51,4,9,8,119,237270.58,237270.58,117889998.22000003,92.86385259440172,B
INV0118,Silver,Other,KALAS,1,14.11,14.11,93,1312.23,Critical,2024-11-01,2024-12-30,5.47,0.18,6,14,14,197,231906.73,231906.73,118121904.95000003,93.04652926515865,B
INV0026,Gold,Other,MANI V 300MG,6,0.32,1.91,7220,13790.2,Normal,2024-10-09,2024-12-18,3.19,1.88,4,8,4,115,228511.16,228511.16,118350416.11000003,93.22653119067242,B
INV0160,Silver,Anklets,"CHAL 11""",18,5.95,107.16,93,9965.88,Normal,2024-12-07,2024-12-29,11.89,1.51,12,30,6,428,210265.24,210265.24,118560681.35000002,93.3921605107836,B
INV0007,Gold,Earrings,TOPS KARWARI,11,0.23,2.52,7220,18194.4,Normal,2024-12-20,2024-12-12,3.86,2.85,4,10,4,139,205144.22,205144.22,118765825.57000002,93.55375592086345,B
INV0096,Silver,Pooja Items,SAMAI 6-12,8,13.0,104.0,93,9672.0,Normal,2024-10-22,2024-12-31,5.28,1.52,6,14,8,190,194644.14,194644.14,118960469.71000002,93.7070802486117,B
INV0150,Silver,Anklets,"CHAL 9.5""",12,5.66,67.88,93,6312.84,Normal,2024-10-22,2024-12-28,11.53,1.04,12,29,10,415,190005.75,190005.75,119150475.46000002,93.8567508417621,B
INV0151,Silver,Anklets,"CHAL 9""",15,5.8,87.05,93,8095.65,Normal,2024-11-11,2024-12-30,10.94,1.37,11,28,6,394,186049.99,186049.99,119336525.45000002,94.0033054189732,B
INV0156,Silver,Anklets,"CHAL 6.5""",149,4.87,725.76,93,67495.68,Dead Stock,2024-05-05,2024-12-31,12.69,11.74,13,32,11,457,183398.51,183398.51,119519923.96000002,94.14777138263275,B
INV0005,Gold,Other,ZHALARI,14,0.22,3.08,7220,22237.6,Excess,2024-08-05,2024-12-21,3.64,3.85,4,10,9,131,182433.06,182433.06,119702357.02000003,94.29147684575923,B
INV0004,Gold,Coins,ZS,8,0.19,1.54,7220,11118.8,Normal,2024-12-07,2024-12-16,4.22,1.89,5,11,3,152,164475.86,164475.86,119866832.88000003,94.42103713288277,B
INV0167,Silver,Bracelets,BRACELET,44,3.08,135.45,93,12596.85,Normal,2024-12-07,2024-12-28,18.17,2.42,19,46,14,654,163352.97,163352.97,120030185.85000002,94.54971290144653,B
INV0149,Silver,Anklets,"CHAL F 10""",12,3.87,46.46,93,4320.78,Low,2024-10-10,2024-12-31,14.0,0.86,14,35,12,504,160894.49,160894.49,120191080.34000002,94.67645208567086,B
INV0075,Gold,Chains,CHAIN DROP,0,0.18,0.0,7220,0.0,Critical,2024-12-08,2024-12-29,4.17,0.0,5,11,3,150,159261.5,159261.5,120350341.84000002,94.80190493733996,B
INV0009,Gold,Earrings,TOPS BUTTON,22,0.14,3.18,7220,22959.6,Excess,2024-10-06,2024-12-24,4.06,5.42,5,11,6,146,139691.13,139691.13,120490032.97000001,94.91194189298446,B
INV0032,Gold,Other,MANI LAKHI 60MG,14,0.21,2.98,7220,21515.6,Excess,2024-11-28,2024-11-25,2.92,4.8,3,8,6,105,136706.76,136706.76,120626739.73000002,95.01962801225649,C
INV0126,Silver,Ornaments,JODAVI PLANE,0,2.72,0.0,93,0.0,Critical,2024-10-30,2024-12-27,17.06,0.0,18,43,13,614,136368.09,136368.09,120763107.82000002,95.12704735570841,C
INV0180,Silver,Anklets,"45CHAL 10""",24,6.91,165.75,93,15414.75,Excess,2024-07-18,2024-12-29,6.47,3.71,7,17,14,233,130719.42,130719.42,120893827.24000002,95.23001715071557,C
INV0154,Silver,Anklets,"CHAL 7.5""",7,4.36,30.54,93,2840.22,Low,2024-11-11,2024-12-28,9.39,0.75,10,24,8,338,120565.46,120565.46,121014392.70000002,95.32498850769635,C
INV0115,Silver,Other,KUMKUM,87,4.33,376.72,93,35034.96,Dead Stock,2024-03-02,2024-12-31,9.42,9.24,10,24,14,339,120403.29,120403.29,121134795.99000002,95.41983212075311,C
INV0155,Silver,Anklets,"CHAL 7""",17,4.69,79.66,93,7408.38,Normal,2024-10-13,2024-12-31,8.5,2.0,9,22,9,306,116827.48,116827.48,121251623.47000003,95.51185901061234,C
INV0033,Gold,Other,MANI LAKHI 110MG,27,0.2,5.27,7220,38049.4,Dead Stock,2024-05-08,2024-12-10,2.69,10.02,3,7,7,97,115704.82,115704.82,121367328.29000002,95.60300156308647,C
INV0021,Gold,Rings,MUDDI V+AD,10,0.13,1.33,7220,9602.6,Normal,2024-10-27,2024-12-20,3.72,2.69,4,10,9,134,113536.75,113536.75,121480865.04000002,95.6924362918611,C
INV0157,Silver,Anklets,"CHAL 6""",15,4.08,61.15,93,5686.95,Normal,2024-10-27,2024-12-23,9.44,1.59,10,24,5,340,113509.03,113509.03,121594374.07000002,95.78184918514474,C
INV0077,Gold,Earrings,BUGADI,5,0.16,0.82,7220,5920.4,Normal,2024-12-22,2024-12-29,3.03,1.65,4,8,7,109,113147.23,113147.23,121707521.30000003,95.8709770827343,C
INV0015,Gold,Other,PANADI,3,0.14,0.42,7220,3032.4,Low,2024-12-03,2024-12-31,3.39,0.89,4,9,6,122,108598.91,108598.91,121816120.21000002,95.9565221953174,C
INV0113,Silver,Idols,LAXMI MURTI,40,6.14,245.75,93,22854.75,Dead Stock,2024-04-27,2024-12-30,6.22,6.43,7,16,9,224,107538.59,107538.59,121923658.80000003,96.04123207673868,C
INV0076,Gold,Earrings,BUGADI TAR,10,0.13,1.34,7220,9674.8,Excess,2024-10-17,2024-12-10,3.28,3.05,4,9,5,118,105293.69,105293.69,122028952.49000002,96.12417361423054,C
INV0125,Silver,Chains,KADA FANCY,39,3.1,120.95,93,11248.35,Excess,2024-10-12,2024-12-27,11.69,3.33,12,30,5,421,103776.24,103776.24,122132728.73000002,96.20591983188827,C
INV0090,Silver,Ornaments,VALE GEJJI,10,3.49,34.91,93,3246.63,Low,2024-11-21,2024-12-28,10.06,0.99,11,26,8,362,102820.22,102820.22,122235548.95000002,96.28691297717602,C
INV0153,Silver,Anklets,"CHAL 8""",14,4.88,68.36,93,6357.48,Normal,2024-12-10,2024-12-24,7.06,1.98,8,18,6,254,102815.26,102815.26,122338364.21000002,96.36790221539178,C
